Date,Close/Last,Volume,Open,High,Low
11/13/2025,$194.58,6739302,$195.63,$196.20,$193.11
11/12/2025,$195.50,8288337,$195.75,$196.66,$193.80
11/11/2025,$195.21,5783435,$194.74,$196.40,$194.35
11/10/2025,$194.81,7447353,$195.89,$196.44,$193.19
11/07/2025,$194.61,7869450,$195.50,$195.8454,$191.49
11/06/2025,$196.50,7740505,$198.10,$201.27,$195.45
11/05/2025,$197.62,9885668,$197.75,$198.5092,$195.31
11/04/2025,$198.05,8619584,$201.80,$202.22,$197.57
11/03/2025,$204.55,8103855,$202.04,$205.66,$201.58
10/31/2025,$201.02,10696570,$201.25,$202.60,$198.30
10/30/2025,$200.08,19417010,$210.01,$210.28,$200.02
10/29/2025,$213.58,20940090,$221.36,$221.895,$212.50
10/28/2025,$223.33,7027188,$224.36,$225.56,$222.60
10/27/2025,$223.00,6084302,$222.78,$223.58,$221.82
10/24/2025,$221.35,5238106,$219.04,$221.74,$218.51
10/23/2025,$217.77,5356227,$216.40,$219.30,$216.25
10/22/2025,$216.59,6310337,$216.68,$217.40,$213.80
10/21/2025,$217.26,4209532,$217.21,$217.70,$215.55
10/20/2025,$216.82,5865087,$215.13,$217.38,$214.56
10/17/2025,$212.94,6482738,$210.91,$214.68,$210.75
10/16/2025,$211.89,5555177,$214.66,$214.96,$210.66
10/15/2025,$214.00,5055634,$215.035,$215.93,$212.48
10/14/2025,$214.30,5975722,$213.54,$217.945,$212.235
10/13/2025,$215.56,5657285,$212.09,$215.80,$212.06
10/10/2025,$210.73,10647880,$217.00,$217.90,$210.73
10/09/2025,$216.00,12974800,$225.70,$225.70,$215.90
10/08/2025,$225.32,6189701,$222.73,$226.19,$221.4703
10/07/2025,$221.82,7610613,$220.11,$223.95,$219.20
10/06/2025,$219.73,7665295,$217.865,$221.80,$215.90
10/03/2025,$216.30,6634085,$216.75,$218.83,$215.25
10/02/2025,$217.43,8281070,$215.45,$218.86,$215.31
10/01/2025,$215.20,7177980,$214.01,$215.63,$213.70
09/30/2025,$215.83,9289288,$217.095,$217.6799,$212.83
09/29/2025,$217.08,11290580,$222.365,$222.81,$215.12
09/26/2025,$221.26,17281720,$223.36,$224.10,$219.11
09/25/2025,$213.53,6649306,$214.87,$216.855,$211.98
09/24/2025,$215.10,7354816,$217.555,$218.1828,$214.77
09/23/2025,$216.34,12760880,$217.12,$219.82,$214.01
09/22/2025,$212.09,7467722,$215.17,$215.90,$211.427
09/19/2025,$215.65,10513700,$217.73,$217.73,$213.6238
09/18/2025,$215.66,6414004,$215.23,$217.40,$213.70
09/17/2025,$214.63,6019533,$215.59,$218.05,$213.13
09/16/2025,$215.02,6330606,$216.86,$217.1299,$213.75
09/15/2025,$215.75,6896201,$216.25,$217.255,$214.07
09/12/2025,$215.94,11094880,$219.89,$220.00,$215.70
09/11/2025,$219.99,12010820,$228.00,$229.6899,$219.65
09/10/2025,$227.52,4949531,$229.60,$230.10,$226.5852
09/09/2025,$229.52,5510373,$231.01,$232.28,$228.45
09/08/2025,$230.95,5954965,$231.70,$232.20,$228.09
09/05/2025,$229.61,8203594,$231.80,$232.2299,$225.50
09/04/2025,$230.75,4093163,$233.01,$233.095,$229.21
09/03/2025,$232.38,5998971,$237.06,$237.06,$230.7601
09/02/2025,$237.38,6339117,$231.28,$238.33,$230.80
08/29/2025,$234.68,5008622,$236.13,$238.05,$233.17
08/28/2025,$236.16,4039590,$235.85,$237.35,$234.495
08/27/2025,$235.62,4757422,$235.36,$236.34,$232.40
08/26/2025,$234.83,7380162,$228.00,$234.83,$227.98
08/25/2025,$226.87,4757569,$229.60,$230.25,$226.60
08/22/2025,$230.12,8678400,$225.41,$233.70,$225.24
08/21/2025,$224.46,6101140,$227.13,$227.58,$223.71
08/20/2025,$225.62,5015978,$224.49,$226.3712,$223.6001
08/19/2025,$225.00,9061071,$232.00,$232.4316,$223.75
08/18/2025,$232.41,8456028,$234.47,$235.157,$229.11
08/15/2025,$235.26,6291381,$233.36,$236.45,$231.4277
08/14/2025,$233.19,5320751,$231.65,$233.97,$230.86
08/13/2025,$233.37,6670421,$233.25,$235.5999,$229.33
08/12/2025,$232.61,7402161,$226.95,$232.61,$226.46
08/11/2025,$225.96,4872738,$229.00,$229.32,$225.17
08/08/2025,$229.12,4724210,$227.50,$230.90,$227.38
08/07/2025,$227.33,4563135,$226.15,$230.39,$224.5801
08/06/2025,$225.04,3898823,$225.70,$226.57,$224.0448
08/05/2025,$224.86,5687360,$222.37,$226.03,$221.065
08/04/2025,$222.34,5997263,$220.15,$222.845,$218.03
08/01/2025,$221.90,8572191,$219.45,$222.46,$215.90
07/31/2025,$221.84,7824977,$224.02,$225.00,$221.15
07/30/2025,$225.84,9354568,$227.84,$231.72,$224.35
07/29/2025,$226.08,20163650,$239.50,$242.6899,$225.26
07/28/2025,$236.41,7923759,$233.24,$236.63,$232.91
07/25/2025,$233.06,4628468,$232.02,$233.31,$228.84
07/24/2025,$231.27,6160163,$233.91,$235.23,$231.05
07/23/2025,$233.88,7302875,$230.32,$235.27,$229.31
07/22/2025,$228.48,4737715,$228.30,$230.3084,$225.55
07/21/2025,$229.32,4183298,$229.40,$232.50,$228.02
07/18/2025,$229.34,5974525,$231.43,$232.25,$227.52
07/17/2025,$231.00,7892608,$230.11,$232.59,$227.75
07/16/2025,$229.90,7474340,$232.13,$233.565,$227.3016
07/15/2025,$230.00,9156844,$230.12,$233.61,$228.42
07/14/2025,$230.51,8750165,$231.40,$233.041,$227.27
07/11/2025,$226.84,6631953,$225.425,$228.735,$225.425
07/10/2025,$226.09,6116601,$226.65,$228.4999,$223.925
07/09/2025,$226.60,16462270,$220.115,$230.1999,$220.01
07/08/2025,$218.52,6769583,$219.00,$220.00,$214.72
07/07/2025,$218.63,5807426,$215.60,$218.63,$214.50
07/03/2025,$215.92,4476122,$211.785,$217.675,$211.67
07/02/2025,$212.03,5870909,$210.40,$214.40,$208.25
07/01/2025,$209.79,5978892,$209.50,$211.8646,$206.7696
06/30/2025,$209.53,9087110,$213.88,$214.71,$208.02
06/27/2025,$214.55,14805410,$205.11,$214.81,$204.38
06/26/2025,$202.58,6931728,$200.41,$204.3873,$199.7587
06/25/2025,$198.90,4690927,$201.00,$201.125,$198.30
06/24/2025,$200.94,5900901,$203.00,$203.51,$200.18
06/23/2025,$201.31,5875194,$197.825,$202.20,$197.47
06/20/2025,$198.75,8934730,$198.66,$200.675,$197.45
06/18/2025,$197.68,7928295,$199.00,$201.06,$196.80
06/17/2025,$200.26,10844630,$201.31,$205.3099,$198.87
06/16/2025,$201.70,6902665,$200.57,$204.00,$199.08
06/13/2025,$200.32,16093450,$200.675,$202.23,$195.28
06/12/2025,$203.75,30586620,$202.17,$206.34,$201.28
06/11/2025,$214.00,5398772,$215.50,$216.205,$212.2101
06/10/2025,$215.73,8190124,$217.58,$217.9005,$213.2514
06/09/2025,$217.51,9419229,$211.23,$218.80,$211.09
06/06/2025,$210.80,6079682,$210.24,$211.11,$208.04
06/05/2025,$209.02,4764376,$212.50,$212.99,$208.22
06/04/2025,$211.98,5705277,$214.77,$214.99,$211.03
06/03/2025,$213.43,8106080,$212.00,$215.80,$211.77
06/02/2025,$211.47,7561816,$210.98,$212.3409,$207.90
05/30/2025,$207.32,7485089,$206.77,$207.70,$204.35
05/29/2025,$208.18,16345990,$201.775,$212.28,$201.50
05/28/2025,$201.50,5481504,$201.95,$202.45,$200.215
05/27/2025,$201.03,5857940,$204.28,$205.00,$200.88
05/23/2025,$202.36,5255185,$199.95,$203.20,$198.75
05/22/2025,$203.41,3634495,$202.53,$204.73,$201.85
05/21/2025,$203.21,6616295,$206.60,$207.1196,$202.43
05/20/2025,$207.67,5875970,$205.00,$208.62,$205.00
05/19/2025,$205.25,5740193,$203.00,$205.60,$202.30
05/16/2025,$205.82,8496835,$205.69,$206.24,$203.02
05/15/2025,$206.24,9583873,$207.35,$208.60,$205.42
05/14/2025,$204.72,16872270,$205.80,$209.66,$204.05
05/13/2025,$203.42,13509490,$200.295,$205.73,$199.67
05/12/2025,$198.53,9340695,$198.16,$198.78,$193.06
05/09/2025,$194.85,7669875,$193.55,$195.30,$192.18
05/08/2025,$191.70,15344060,$186.76,$194.75,$186.22
05/07/2025,$185.56,6098643,$185.00,$186.72,$183.50
05/06/2025,$185.96,4947965,$184.71,$186.20,$183.63
05/05/2025,$186.46,5413742,$184.39,$187.58,$184.39
05/02/2025,$185.46,8695904,$185.00,$187.58,$184.08
