Date,Close/Last,Volume,Open,High,Low
11/13/2025,$27.97,31960610,$27.76,$28.28,$27.76
11/12/2025,$27.89,30938850,$27.44,$27.955,$27.42
11/11/2025,$27.45,53416960,$27.365,$27.65,$27.05
11/10/2025,$27.12,55469880,$27.25,$27.48,$26.745
11/07/2025,$27.35,36519350,$27.565,$27.775,$27.01
11/06/2025,$27.31,32823380,$27.93,$28.0599,$27.28
11/05/2025,$27.94,40249210,$27.445,$27.985,$27.38
11/04/2025,$27.44,45561730,$27.03,$27.54,$26.89
11/03/2025,$26.98,39650730,$27.64,$27.76,$26.70
10/31/2025,$27.835,49107310,$26.725,$27.94,$26.345
10/30/2025,$27.32,64038140,$26.09,$28.10,$25.75
10/29/2025,$28.53,42857670,$29.15,$29.26,$28.46
10/28/2025,$29.28,27062810,$29.31,$29.42,$29.125
10/27/2025,$29.42,24107410,$29.405,$29.7151,$29.2944
10/24/2025,$29.28,18001540,$29.465,$29.62,$29.25
10/23/2025,$29.30,21198150,$29.615,$29.65,$29.25
10/22/2025,$29.40,22015760,$29.94,$30.00,$29.38
10/21/2025,$29.97,30082960,$29.65,$29.99,$29.49
10/20/2025,$29.57,16881390,$29.55,$29.63,$29.315
10/17/2025,$29.54,20680910,$29.30,$29.64,$29.16
10/16/2025,$29.26,20378550,$29.66,$29.83,$29.15
10/15/2025,$29.72,20536650,$29.93,$30.115,$29.45
10/14/2025,$29.99,23398670,$29.45,$30.11,$29.41
10/13/2025,$29.41,16844070,$29.53,$29.77,$29.39
10/10/2025,$29.46,22896840,$30.19,$30.38,$29.425
10/09/2025,$30.08,22555010,$30.86,$30.97,$30.06
10/08/2025,$30.77,23765200,$30.61,$30.99,$30.455
10/07/2025,$30.60,30175840,$31.09,$31.13,$30.30
10/06/2025,$31.09,27868010,$30.80,$31.11,$30.42
10/03/2025,$30.90,32639880,$30.43,$31.195,$30.41
10/02/2025,$30.40,25014590,$30.72,$30.80,$30.38
10/01/2025,$30.94,30248180,$31.04,$31.37,$30.90
09/30/2025,$31.42,37758230,$31.45,$31.81,$31.225
