Date,Close/Last,Volume,Open,High,Low
11/13/2025,$155.58,7998740,$154.00,$156.2025,$153.93
11/12/2025,$153.32,11670950,$155.58,$155.79,$152.08
11/11/2025,$156.24,6361426,$156.75,$157.99,$155.90
11/10/2025,$155.65,8436797,$155.42,$155.98,$152.37
11/07/2025,$155.02,9835929,$153.425,$156.17,$153.425
11/06/2025,$152.94,6466257,$152.91,$154.79,$152.68
11/05/2025,$152.66,5894721,$153.53,$154.395,$152.66
11/04/2025,$153.39,6976838,$153.425,$153.76,$152.15
11/03/2025,$154.04,8512209,$157.41,$157.72,$153.57
10/31/2025,$157.72,11136110,$155.725,$159.18,$155.11
10/30/2025,$153.52,8971226,$155.225,$155.225,$153.24
10/29/2025,$155.10,7344432,$153.86,$156.15,$153.86
10/28/2025,$154.13,5066475,$154.90,$156.23,$153.89
10/27/2025,$155.28,4884434,$155.795,$156.50,$154.87
10/24/2025,$155.56,4979941,$157.415,$157.629,$155.427
10/23/2025,$156.56,9810894,$158.20,$158.5883,$156.12
10/22/2025,$155.57,6036705,$154.65,$155.98,$153.61
10/21/2025,$153.79,6304917,$154.74,$155.2884,$153.21
10/20/2025,$154.48,5676505,$153.43,$154.72,$153.18
10/17/2025,$153.08,7735462,$152.26,$154.19,$152.20
10/16/2025,$151.71,5276788,$152.14,$152.73,$150.23
10/15/2025,$152.11,5824931,$152.90,$154.2071,$151.04
10/14/2025,$152.39,6419350,$149.81,$153.46,$149.66
10/13/2025,$151.94,5978755,$150.00,$151.98,$149.43
10/10/2025,$148.90,7796621,$150.695,$151.35,$148.89
10/09/2025,$151.64,6178601,$154.13,$154.97,$151.56
10/08/2025,$153.74,5678028,$154.36,$154.68,$152.84
10/07/2025,$154.91,5479593,$153.65,$154.96,$151.28
10/06/2025,$154.02,4778924,$153.965,$154.645,$152.92
10/03/2025,$153.55,7249291,$153.58,$154.28,$152.23
10/02/2025,$153.37,7562448,$153.955,$156.60,$153.3238
10/01/2025,$154.58,6768358,$154.83,$155.09,$153.19
09/30/2025,$155.29,7755716,$154.89,$155.73,$153.93
09/29/2025,$156.10,8315073,$159.125,$159.125,$155.5635
09/26/2025,$160.16,7015168,$160.57,$161.30,$159.51
09/25/2025,$160.72,6311040,$159.44,$161.01,$159.35
09/24/2025,$159.18,6285228,$158.32,$160.49,$158.25
09/23/2025,$157.42,7181383,$157.12,$159.83,$156.985
09/22/2025,$156.05,5244025,$155.62,$157.12,$155.15
09/19/2025,$156.21,16733990,$158.995,$158.995,$155.55
09/18/2025,$158.84,6244226,$160.03,$160.29,$158.09
09/17/2025,$160.09,5736777,$159.195,$160.67,$158.61
09/16/2025,$159.54,8011032,$158.25,$160.10,$158.12
09/15/2025,$157.31,5030461,$157.375,$158.32,$156.50
09/12/2025,$157.11,5546333,$158.845,$159.78,$157.10
09/11/2025,$158.25,6417408,$156.50,$158.92,$156.01
09/10/2025,$157.79,7440811,$155.05,$157.92,$155.00
09/09/2025,$154.85,7769177,$154.91,$156.985,$154.60
09/08/2025,$154.00,9461969,$153.91,$155.03,$152.875
09/05/2025,$153.66,11011670,$156.06,$156.72,$153.4899
09/04/2025,$157.69,7242974,$158.06,$159.65,$157.50
09/03/2025,$158.06,9556116,$160.00,$161.85,$157.02
