Date,Close/Last,Volume,Open,High,Low
11/13/2025,$309.48,8973258,$319.23,$320.6325,$309.10
11/12/2025,$320.41,10578270,$316.26,$322.25,$316.21
11/11/2025,$315.62,5030216,$317.50,$319.05,$315.28
11/10/2025,$316.89,5794505,$315.00,$319.555,$314.21
11/07/2025,$314.21,7302347,$311.89,$314.43,$307.642
11/06/2025,$313.42,7206111,$310.99,$314.84,$310.26
11/05/2025,$311.68,6865198,$309.61,$313.10,$305.63
11/04/2025,$309.25,7085164,$306.71,$312.22,$305.10
11/03/2025,$309.35,7770040,$311.00,$312.32,$306.21
10/31/2025,$311.12,7721297,$308.54,$312.87,$307.25
10/30/2025,$309.44,7514556,$305.79,$312.61,$305.10
10/29/2025,$305.51,7520324,$303.51,$308.245,$303.01
10/28/2025,$305.36,6335993,$304.86,$307.9674,$303.16
10/27/2025,$304.15,5642222,$302.16,$304.53,$301.01
10/24/2025,$300.44,7228330,$296.08,$302.60,$295.45
10/23/2025,$294.54,5438810,$294.38,$296.3699,$292.51
10/22/2025,$294.11,8054115,$297.77,$298.0599,$290.5448
10/21/2025,$297.09,7372671,$301.66,$304.05,$297.00
10/20/2025,$302.36,6894943,$298.50,$303.69,$298.1601
10/17/2025,$297.56,10153450,$299.16,$299.55,$294.20
10/16/2025,$298.54,10549450,$305.35,$308.6799,$297.07
10/15/2025,$305.69,11354780,$306.39,$312.1199,$305.44
10/14/2025,$302.08,16178760,$305.84,$307.00,$294.21
10/13/2025,$307.97,10788680,$305.60,$309.46,$305.45
10/10/2025,$300.89,8597384,$305.66,$310.47,$300.81
10/09/2025,$305.53,7060332,$305.05,$308.035,$303.3947
10/08/2025,$304.03,6489883,$308.21,$308.7832,$303.55
10/07/2025,$307.69,8454217,$309.35,$310.01,$304.70
10/06/2025,$309.18,7214502,$310.18,$311.7474,$305.1301
10/03/2025,$310.03,6029854,$308.51,$311.66,$308.21
10/02/2025,$307.55,7599973,$310.00,$310.56,$306.14
10/01/2025,$310.71,9235211,$313.97,$314.59,$307.41
09/30/2025,$315.43,11823320,$316.25,$317.41,$310.11
09/29/2025,$315.69,6462442,$317.06,$318.01,$313.66
09/26/2025,$316.06,7258136,$314.90,$317.81,$313.704
09/25/2025,$313.45,7083198,$314.12,$315.65,$311.80
09/24/2025,$313.42,7310513,$314.05,$316.5773,$311.665
09/23/2025,$312.74,8584420,$311.815,$316.3141,$310.58
09/22/2025,$312.44,7520190,$309.80,$313.70,$309.555
09/19/2025,$314.78,23568550,$313.60,$315.80,$309.12
09/18/2025,$313.23,8050671,$311.79,$313.44,$309.61
09/17/2025,$311.75,8657765,$310.39,$312.91,$308.7722
09/16/2025,$309.19,10525590,$310.00,$310.90,$307.1347
09/15/2025,$308.90,7122015,$307.17,$309.95,$307.17
09/12/2025,$306.91,6846674,$305.00,$307.55,$303.695
