Date,Close/Last,Volume,Open,High,Low
11/14/24,$311.18 ,120726100,$327.69 ,$329.98 ,$310.37 
11/15/24,$320.72 ,114440300,$310.57 ,$324.68 ,$309.22 
11/18/24,$338.74 ,126547500,$340.73 ,$348.55 ,$330.01 
11/19/24,$346.00 ,88852450,$335.76 ,$347.38 ,$332.75 
11/20/24,$342.03 ,66340650,$345.00 ,$346.60 ,$334.30 
11/21/24,$339.64 ,58011720,$343.81 ,$347.99 ,$335.28 
11/22/24,$352.56 ,89140720,$341.09 ,$361.53 ,$337.70 
11/25/24,$338.59 ,95890900,$360.14 ,$361.93 ,$338.20 
11/26/24,$338.23 ,62295860,$341.00 ,$346.96 ,$335.66 
11/27/24,$332.89 ,57896440,$341.80 ,$342.55 ,$326.59 
11/29/24,$345.16 ,37167620,$336.08 ,$345.45 ,$334.65 
12/2/24,$357.09 ,77986480,$352.38 ,$360.00 ,$351.15 
12/3/24,$351.42 ,58267200,$351.80 ,$355.69 ,$348.20 
12/4/24,$357.93 ,50810870,$353.00 ,$358.10 ,$348.60 
12/5/24,$369.49 ,81403570,$359.87 ,$375.43 ,$359.50 
12/6/24,$389.22 ,81455830,$377.42 ,$389.49 ,$370.80 
12/9/24,$389.79 ,96359170,$397.61 ,$404.80 ,$378.01 
12/10/24,$400.99 ,97563580,$392.68 ,$409.73 ,$390.85 
12/11/24,$424.77 ,104287600,$409.70 ,$424.88 ,$402.38 
12/12/24,$418.10 ,87752230,$424.84 ,$429.30 ,$415.00 
12/13/24,$436.23 ,89000160,$420.00 ,$436.30 ,$415.71 
12/16/24,$463.02 ,114083800,$441.09 ,$463.19 ,$436.15 
12/17/24,$479.86 ,131223000,$475.90 ,$483.99 ,$457.51 
12/18/24,$440.13 ,149340800,$466.50 ,$488.54 ,$427.01 
12/19/24,$436.17 ,118566100,$451.88 ,$456.36 ,$420.02 
12/20/24,$421.06 ,132216200,$425.51 ,$447.08 ,$417.64 
12/23/24,$430.60 ,72698060,$431.00 ,$434.51 ,$415.41 
12/24/24,$462.28 ,59551750,$435.90 ,$462.78 ,$435.14 
12/26/24,$454.13 ,76651210,$465.16 ,$465.33 ,$451.02 
12/27/24,$431.66 ,82666820,$449.52 ,$450.00 ,$426.50 
12/30/24,$417.41 ,64941010,$419.40 ,$427.00 ,$415.75 
12/31/24,$403.84 ,76825120,$423.79 ,$427.93 ,$402.54 
1/2/25,$379.28 ,109710700,$390.10 ,$392.73 ,$373.04 
1/3/25,$410.44 ,95423330,$381.48 ,$411.88 ,$379.45 
1/6/25,$411.05 ,85516530,$423.20 ,$426.43 ,$401.70 
1/7/25,$394.36 ,75699530,$405.83 ,$414.33 ,$390.00 
1/8/25,$394.94 ,73038810,$392.95 ,$402.50 ,$387.40 
1/10/25,$394.74 ,62287330,$391.40 ,$399.28 ,$377.29 
1/13/25,$403.31 ,67580490,$383.21 ,$403.79 ,$380.07 
1/14/25,$396.36 ,84565020,$414.34 ,$422.64 ,$394.54 
1/15/25,$428.22 ,81375460,$409.90 ,$429.80 ,$405.66 
1/16/25,$413.82 ,68335150,$423.49 ,$424.00 ,$409.13 
1/17/25,$426.50 ,94991430,$421.50 ,$439.74 ,$419.75 
1/21/25,$424.07 ,87320890,$432.64 ,$433.20 ,$406.31 
1/22/25,$415.11 ,60963340,$416.81 ,$428.00 ,$414.59 
1/23/25,$412.38 ,50690590,$416.06 ,$420.73 ,$408.95 
1/24/25,$406.58 ,56427150,$414.45 ,$418.88 ,$405.78 
1/27/25,$397.15 ,58125510,$394.80 ,$406.69 ,$389.00 
1/28/25,$398.09 ,48910680,$396.91 ,$400.59 ,$386.50 
1/29/25,$389.10 ,68033650,$395.21 ,$398.59 ,$384.48 
1/30/25,$400.28 ,98092880,$410.78 ,$412.50 ,$384.41 
1/31/25,$404.60 ,83568220,$401.53 ,$419.99 ,$401.34 
2/3/25,$383.68 ,93732120,$386.68 ,$389.17 ,$374.36 
2/4/25,$392.21 ,57072240,$382.63 ,$394.00 ,$381.40 
2/5/25,$378.17 ,57614720,$387.51 ,$388.39 ,$375.53 
2/6/25,$374.32 ,77918230,$373.03 ,$375.40 ,$363.18 
2/7/25,$361.62 ,70298260,$370.19 ,$380.55 ,$360.34 
2/10/25,$350.73 ,77514900,$356.21 ,$362.70 ,$350.51 
2/11/25,$328.50 ,118543400,$345.80 ,$349.37 ,$325.10 
2/12/25,$336.51 ,105382700,$329.94 ,$346.40 ,$329.12 
2/13/25,$355.94 ,89441520,$345.00 ,$358.69 ,$342.85 
2/14/25,$355.84 ,68277280,$360.62 ,$362.00 ,$347.50 
2/18/25,$354.11 ,51631700,$355.01 ,$359.10 ,$350.02 
2/19/25,$360.56 ,67094370,$354.00 ,$367.34 ,$353.67 
2/20/25,$354.40 ,45965350,$361.51 ,$362.30 ,$348.00 
2/21/25,$337.80 ,74058650,$353.44 ,$354.98 ,$334.42 
2/24/25,$330.53 ,76052320,$338.14 ,$342.40 ,$324.70 
2/25/25,$302.80 ,134228800,$327.03 ,$328.89 ,$297.25 
2/26/25,$290.80 ,100118300,$303.72 ,$309.00 ,$288.04 
2/27/25,$281.95 ,101748200,$291.16 ,$297.23 ,$280.88 
2/28/25,$292.98 ,115697000,$279.50 ,$293.88 ,$273.60 
3/3/25,$284.65 ,115551400,$300.34 ,$303.94 ,$277.30 
3/4/25,$272.04 ,126706600,$270.93 ,$284.35 ,$261.84 
3/5/25,$279.10 ,94042910,$272.92 ,$279.55 ,$267.71 
3/6/25,$263.45 ,98451570,$272.06 ,$272.65 ,$260.02 
3/7/25,$262.67 ,102369600,$259.32 ,$266.25 ,$250.73 
3/10/25,$222.15 ,189076900,$252.54 ,$253.37 ,$220.00 
3/11/25,$230.58 ,174896400,$225.31 ,$237.06 ,$217.02 
3/12/25,$248.09 ,142215700,$247.22 ,$251.84 ,$241.10 
3/13/25,$240.68 ,114813500,$248.13 ,$248.29 ,$232.60 
3/14/25,$249.98 ,100242300,$247.31 ,$251.58 ,$240.73 
3/17/25,$238.01 ,111900600,$245.06 ,$245.40 ,$232.80 
3/18/25,$225.31 ,111477600,$228.16 ,$230.10 ,$222.28 
3/19/25,$235.86 ,111993800,$231.61 ,$241.41 ,$229.20 
3/20/25,$236.26 ,99028270,$233.35 ,$238.00 ,$230.05 
3/21/25,$248.71 ,132728700,$234.99 ,$249.52 ,$234.55 
3/24/25,$278.39 ,169079900,$258.08 ,$278.64 ,$256.33 
3/25/25,$288.14 ,150361500,$283.60 ,$288.20 ,$271.28 
3/26/25,$272.06 ,156254400,$282.66 ,$284.90 ,$266.51 
3/27/25,$273.13 ,162572100,$272.48 ,$291.85 ,$271.82 
3/28/25,$263.55 ,123809400,$275.58 ,$276.10 ,$260.57 
3/31/25,$259.16 ,134008900,$249.31 ,$260.56 ,$243.36 
4/1/25,$268.46 ,146486900,$263.80 ,$277.45 ,$259.25 
4/2/25,$282.76 ,212787800,$254.60 ,$284.99 ,$251.27 
4/3/25,$267.28 ,136174300,$265.29 ,$276.30 ,$261.51 
4/4/25,$239.43 ,181229400,$255.38 ,$261.00 ,$236.00 
4/7/25,$233.29 ,183453800,$223.78 ,$252.00 ,$214.25 
4/8/25,$221.86 ,171603500,$245.00 ,$250.44 ,$217.80 
4/9/25,$272.20 ,219433400,$224.69 ,$274.69 ,$223.88 
4/10/25,$252.40 ,181722600,$260.00 ,$262.49 ,$239.33 
4/11/25,$252.31 ,128948100,$251.84 ,$257.74 ,$241.36 
4/14/25,$252.35 ,100135200,$258.36 ,$261.80 ,$245.93 
4/15/25,$254.11 ,79594320,$249.91 ,$258.75 ,$247.54 
4/16/25,$241.55 ,112378700,$247.61 ,$251.97 ,$233.89 
4/17/25,$241.37 ,83404780,$243.47 ,$244.34 ,$237.68 
4/21/25,$227.50 ,97768010,$230.26 ,$232.21 ,$222.79 
4/22/25,$237.97 ,120858500,$230.96 ,$242.79 ,$229.85 
4/23/25,$250.74 ,150381900,$254.86 ,$259.45 ,$244.43 
4/24/25,$259.51 ,94464200,$250.50 ,$259.54 ,$249.20 
4/25/25,$284.95 ,167560700,$261.69 ,$286.85 ,$259.63 
4/28/25,$285.88 ,151731800,$288.98 ,$294.86 ,$272.42 
4/29/25,$292.03 ,108906600,$285.50 ,$293.32 ,$279.47 
4/30/25,$282.16 ,128961100,$279.90 ,$284.45 ,$270.78 
5/1/25,$280.52 ,99658970,$280.01 ,$290.87 ,$279.81 
5/2/25,$287.21 ,114454700,$284.90 ,$294.78 ,$279.81 
5/5/25,$280.26 ,94618880,$284.57 ,$284.85 ,$274.40 
5/6/25,$275.35 ,76715790,$273.11 ,$277.73 ,$271.35 
5/7/25,$276.22 ,71882410,$276.88 ,$277.92 ,$271.00 
5/8/25,$284.82 ,97539450,$279.63 ,$289.80 ,$279.41 
5/9/25,$298.26 ,132387800,$290.21 ,$307.04 ,$290.00 
5/12/25,$318.38 ,112826700,$321.99 ,$322.21 ,$311.50 
5/13/25,$334.07 ,136992600,$320.00 ,$337.59 ,$316.80 
5/14/25,$347.68 ,136997300,$342.50 ,$350.00 ,$337.00 
5/15/25,$342.82 ,97882600,$340.34 ,$346.14 ,$334.72 
5/16/25,$349.98 ,95895670,$346.24 ,$351.62 ,$342.33 
5/19/25,$342.09 ,88869850,$336.30 ,$343.00 ,$333.37 
5/20/25,$343.82 ,131715500,$347.87 ,$354.99 ,$341.63 
5/21/25,$334.62 ,102354800,$344.43 ,$347.35 ,$332.20 
5/22/25,$341.04 ,97113420,$331.90 ,$347.27 ,$331.39 
5/23/25,$339.34 ,84654820,$337.92 ,$343.18 ,$333.21 
5/27/25,$362.89 ,120146400,$347.35 ,$363.79 ,$347.32 
5/28/25,$356.90 ,91404310,$364.84 ,$365.00 ,$355.91 
5/29/25,$358.43 ,88545670,$365.29 ,$367.71 ,$356.00 
5/30/25,$346.46 ,123474900,$355.52 ,$363.68 ,$345.29 
6/2/25,$342.69 ,81873830,$343.50 ,$348.02 ,$333.33 
6/3/25,$344.27 ,99324540,$346.60 ,$355.40 ,$343.04 
6/4/25,$332.05 ,98912080,$345.10 ,$345.60 ,$327.33 
6/5/25,$284.70 ,292818700,$322.49 ,$324.55 ,$273.21 
6/6/25,$295.14 ,164747700,$298.83 ,$305.50 ,$291.14 
6/9/25,$308.58 ,140908900,$285.96 ,$309.83 ,$281.85 
6/10/25,$326.09 ,151256500,$314.94 ,$327.83 ,$310.67 
6/11/25,$326.43 ,122611400,$334.40 ,$335.50 ,$322.50 
6/12/25,$319.11 ,105127500,$323.08 ,$332.56 ,$316.86 
6/13/25,$325.31 ,128964300,$313.97 ,$332.99 ,$313.30 
