Date,Close/Last,Volume,Open,High,Low
11/13/2025,$336.08,4961710,$339.035,$341.46,$335.60
11/12/2025,$338.88,6389575,$338.25,$344.2599,$337.40
11/11/2025,$338.92,4453262,$335.50,$339.09,$333.20
11/10/2025,$334.85,5295841,$336.65,$338.68,$334.32
11/07/2025,$336.02,5318383,$336.725,$338.285,$334.85
11/06/2025,$336.96,8507904,$338.59,$338.65,$333.71
11/05/2025,$340.04,4984599,$340.13,$342.11,$336.36
11/04/2025,$340.30,5920151,$336.48,$340.32,$334.25
11/03/2025,$336.90,5537953,$341.00,$341.21,$334.82
10/31/2025,$340.74,7301556,$342.08,$343.00,$338.17
10/30/2025,$345.03,6411843,$342.22,$349.715,$341.79
10/29/2025,$341.28,8361652,$346.00,$350.98,$339.00
10/28/2025,$346.90,7445361,$348.58,$349.89,$346.50
10/27/2025,$347.82,5400264,$349.00,$349.52,$345.01
10/24/2025,$347.38,3576694,$348.20,$349.08,$345.32
10/23/2025,$345.96,7217225,$346.20,$347.147,$344.46
10/22/2025,$345.36,5074406,$347.82,$348.17,$344.50
10/21/2025,$347.21,4121756,$343.12,$349.65,$343.00
10/20/2025,$344.41,4665032,$341.90,$344.96,$338.94
10/17/2025,$341.89,6267130,$337.77,$343.45,$337.00
10/16/2025,$335.40,6241506,$345.00,$345.69,$334.17
10/15/2025,$345.69,3778198,$348.38,$350.075,$344.00
10/14/2025,$348.38,5731348,$341.00,$350.01,$340.22
10/13/2025,$343.30,4030682,$343.72,$347.66,$340.73
10/10/2025,$343.65,6296169,$347.63,$350.40,$343.25
10/09/2025,$347.04,4434799,$351.47,$352.87,$345.582
10/08/2025,$351.36,3927524,$353.78,$355.00,$351.10
10/07/2025,$352.42,5044597,$350.06,$354.44,$350.06
10/06/2025,$349.28,4735635,$350.01,$351.12,$344.35
10/03/2025,$349.84,5199681,$346.11,$353.1599,$346.00
10/02/2025,$345.95,5198236,$346.215,$347.18,$343.5565
10/01/2025,$347.83,8380965,$340.31,$349.36,$340.31
09/30/2025,$341.38,8164773,$339.82,$345.61,$338.51
09/29/2025,$340.16,7218209,$337.38,$340.64,$335.55
09/26/2025,$337.37,9619547,$337.23,$339.50,$336.23
09/25/2025,$334.93,5398713,$338.35,$340.20,$334.51
09/24/2025,$338.68,5207430,$339.13,$339.90,$337.92
09/23/2025,$338.70,10142660,$344.59,$345.255,$337.63
09/22/2025,$344.36,5621798,$339.01,$344.86,$338.66
09/19/2025,$341.61,13674340,$340.45,$342.69,$338.25
09/18/2025,$338.18,7526597,$344.73,$345.27,$338.18
09/17/2025,$346.20,5763537,$339.94,$346.20,$339.52
09/16/2025,$340.03,5527730,$336.24,$340.54,$333.47
09/15/2025,$339.05,4367547,$340.61,$342.71,$338.39
09/12/2025,$339.43,3518310,$341.22,$343.19,$339.17
09/11/2025,$343.49,5157593,$338.73,$343.53,$337.87
09/10/2025,$338.12,6557868,$342.61,$342.61,$336.44
09/09/2025,$343.99,4646187,$341.69,$346.32,$341.29
09/08/2025,$342.30,4711571,$342.34,$344.382,$341.00
09/05/2025,$343.22,5448341,$351.375,$352.6213,$340.20
09/04/2025,$350.99,4323973,$350.73,$352.63,$349.15
09/03/2025,$350.87,4176415,$349.34,$350.89,$347.26
09/02/2025,$350.07,4940539,$349.31,$350.1675,$346.08
08/29/2025,$351.78,3671901,$350.46,$352.63,$349.00
08/28/2025,$349.86,4987541,$350.60,$351.04,$348.60
08/27/2025,$350.35,5531127,$350.71,$353.425,$349.84
08/26/2025,$351.18,5876224,$348.69,$353.40,$347.445
08/25/2025,$348.82,8020043,$349.61,$350.72,$347.5024
08/22/2025,$350.04,4973223,$345.22,$351.20,$345.22
08/21/2025,$343.69,6073857,$342.89,$344.52,$339.72
08/20/2025,$343.93,5834366,$343.40,$347.44,$342.8518
08/19/2025,$342.45,4457201,$342.56,$346.34,$341.89
08/18/2025,$342.74,3999572,$343.84,$345.7275,$340.95
08/15/2025,$344.47,4946616,$346.245,$348.36,$342.86
08/14/2025,$345.49,6224008,$342.94,$346.08,$341.67
08/13/2025,$342.55,5693362,$336.98,$343.48,$336.78
08/12/2025,$336.74,5684596,$335.20,$338.65,$334.81
08/11/2025,$335.90,5715795,$336.73,$337.86,$334.51
08/08/2025,$336.78,6073868,$333.68,$337.3774,$332.73
08/07/2025,$332.09,8797064,$341.43,$342.15,$328.70
08/06/2025,$339.74,5944108,$338.295,$341.4286,$335.43
08/05/2025,$337.43,7295564,$342.15,$342.46,$335.55
08/04/2025,$342.15,7335286,$341.695,$344.38,$340.00
08/01/2025,$339.35,8658670,$344.10,$346.17,$338.10
07/31/2025,$345.47,8641733,$348.93,$352.82,$345.0901
07/30/2025,$350.91,12129680,$351.70,$356.62,$347.23
07/29/2025,$351.29,7402324,$356.29,$358.32,$350.8095
07/28/2025,$355.47,3920959,$356.38,$358.32,$354.73
07/25/2025,$357.04,3915781,$354.00,$357.65,$353.01
07/24/2025,$353.97,5887647,$354.82,$357.18,$353.86
07/23/2025,$355.29,4385600,$353.00,$355.78,$351.21
07/22/2025,$351.86,4614217,$351.10,$354.48,$350.20
07/21/2025,$350.94,5216269,$349.06,$353.65,$348.40
07/18/2025,$349.05,4927644,$349.50,$349.50,$347.16
07/17/2025,$349.81,4747460,$350.00,$351.37,$348.48
07/16/2025,$349.90,5544214,$347.29,$350.67,$345.80
07/15/2025,$347.02,4891719,$348.12,$350.21,$346.76
07/14/2025,$350.50,5599263,$347.39,$351.97,$345.01
07/11/2025,$347.93,7580157,$352.51,$353.81,$344.3925
07/10/2025,$355.88,6121637,$356.83,$357.62,$353.45
07/09/2025,$357.76,7297087,$355.07,$357.76,$353.75
07/08/2025,$354.55,6966793,$356.68,$358.275,$353.25
07/07/2025,$356.64,5138011,$358.92,$359.66,$354.49
07/03/2025,$358.86,3702810,$354.59,$359.00,$353.61
07/02/2025,$354.22,5131422,$354.60,$356.36,$350.00
07/01/2025,$355.47,6653409,$353.82,$357.00,$351.42
06/30/2025,$355.05,7080119,$349.35,$355.61,$349.06
06/27/2025,$348.61,6601921,$346.59,$352.01,$345.66
06/26/2025,$346.03,8829456,$343.775,$346.9099,$342.03
06/25/2025,$345.26,6836286,$350.45,$351.2899,$345.26
06/24/2025,$351.63,10171950,$351.52,$354.56,$347.92
06/23/2025,$343.75,7553346,$337.50,$344.30,$335.63
06/20/2025,$338.57,19332080,$338.95,$340.00,$334.92
06/18/2025,$340.38,15008620,$357.85,$358.475,$338.04
06/17/2025,$357.84,5559643,$353.49,$359.6024,$353.32
06/16/2025,$355.48,7234665,$356.49,$360.22,$354.33
06/13/2025,$352.85,14181690,$361.505,$363.01,$345.00
06/12/2025,$371.40,4874007,$372.23,$374.17,$369.545
06/11/2025,$373.31,5562874,$370.00,$375.51,$369.38
06/10/2025,$370.70,4109266,$367.00,$371.44,$366.68
06/09/2025,$366.66,5000275,$369.79,$369.79,$362.05
06/06/2025,$370.22,5008493,$369.01,$371.00,$367.55
06/05/2025,$366.77,6884638,$370.00,$371.00,$365.93
06/04/2025,$368.00,4202306,$366.71,$369.66,$366.31
06/03/2025,$365.86,5221424,$364.58,$366.88,$361.50
06/02/2025,$365.32,3845997,$362.77,$365.46,$359.96
05/30/2025,$365.19,8726858,$361.35,$367.04,$361.35
05/29/2025,$362.40,4590972,$360.35,$363.04,$358.72
05/28/2025,$359.73,3299041,$359.34,$360.91,$358.04
05/27/2025,$359.30,6316301,$355.41,$360.00,$354.48
05/23/2025,$353.54,5346050,$353.745,$356.00,$352.22
05/22/2025,$357.97,4936568,$357.755,$360.00,$356.56
05/21/2025,$358.30,6125536,$363.72,$365.989,$358.08
05/20/2025,$366.84,5281778,$367.78,$368.25,$364.69
05/19/2025,$367.90,5081519,$363.02,$369.1499,$362.321
05/16/2025,$365.12,5838075,$362.95,$366.19,$360.89
05/15/2025,$362.30,5826126,$356.89,$363.73,$356.675
05/14/2025,$356.46,6208010,$356.67,$358.41,$355.2128
05/13/2025,$356.14,5406243,$355.52,$358.87,$354.58
05/12/2025,$355.85,7985428,$359.14,$361.89,$351.13
05/09/2025,$352.54,3086734,$351.83,$353.80,$350.67
05/08/2025,$351.27,4156386,$352.00,$355.33,$350.945
05/07/2025,$349.85,5454135,$348.70,$351.15,$347.21
05/06/2025,$347.70,3438464,$346.40,$349.65,$345.7579
05/05/2025,$348.64,3865342,$347.00,$351.05,$346.1208
05/02/2025,$347.60,6113683,$347.22,$350.09,$346.12
05/01/2025,$342.45,5849940,$345.58,$345.72,$340.12
04/30/2025,$345.50,9526712,$334.44,$346.52,$333.24
04/29/2025,$341.52,5519533,$338.50,$342.27,$336.46
04/28/2025,$337.51,5422903,$336.775,$339.335,$335.02
04/25/2025,$335.17,4452757,$334.76,$336.365,$332.17
04/24/2025,$335.71,8055174,$333.28,$336.77,$331.25
04/23/2025,$334.37,8906235,$337.24,$341.25,$333.20
04/22/2025,$331.40,5435531,$323.855,$332.56,$322.39
04/21/2025,$320.10,6362425,$329.00,$329.15,$316.6542
04/17/2025,$329.61,5655943,$331.07,$334.3199,$328.44
04/16/2025,$331.33,5850819,$335.00,$337.2243,$328.86
04/15/2025,$335.81,4386214,$336.72,$339.39,$335.00
04/14/2025,$335.18,5011779,$336.41,$339.6099,$333.14
04/11/2025,$333.40,6804507,$324.43,$336.98,$322.54
04/10/2025,$324.61,8709762,$328.02,$330.16,$313.27
04/09/2025,$332.43,11361800,$305.635,$334.03,$305.635
04/08/2025,$308.27,9569298,$322.24,$326.28,$303.93
04/07/2025,$312.32,12163440,$302.07,$322.18,$299.00
04/04/2025,$313.13,13201740,$330.00,$334.65,$312.12
04/03/2025,$339.39,8792873,$333.90,$344.735,$331.00
04/02/2025,$346.33,5682521,$343.44,$348.20,$343.05
04/01/2025,$346.35,7473329,$350.44,$350.45,$342.57
03/31/2025,$350.46,9950762,$339.35,$351.86,$334.49
03/28/2025,$342.85,5687616,$349.19,$351.615,$341.605
03/27/2025,$349.86,7254807,$344.00,$350.84,$343.32
03/26/2025,$344.18,6187574,$345.99,$347.38,$343.00
03/25/2025,$344.62,3931161,$344.56,$345.53,$340.67
03/24/2025,$343.87,5675111,$338.65,$345.22,$337.6509
03/21/2025,$335.66,17279670,$337.37,$339.43,$335.52
03/20/2025,$339.50,5432675,$339.00,$342.24,$337.66
03/19/2025,$339.87,5615204,$336.80,$341.0313,$334.50
03/18/2025,$334.77,7778631,$335.29,$335.80,$332.30
03/17/2025,$334.55,6149652,$330.03,$336.11,$329.76
03/14/2025,$331.80,7810970,$327.21,$332.7657,$326.3808
03/13/2025,$328.55,7915323,$330.99,$336.20,$327.70
03/12/2025,$332.84,6295394,$335.97,$336.16,$329.11
03/11/2025,$332.14,9776072,$338.41,$339.61,$329.575
03/10/2025,$341.48,8204296,$339.94,$345.01,$337.6411
03/07/2025,$345.32,6358901,$340.87,$346.39,$339.14
03/06/2025,$344.16,8611119,$345.96,$348.87,$340.3878
03/05/2025,$352.68,8244242,$350.83,$354.1065,$348.935
03/04/2025,$352.23,8955804,$360.11,$360.27,$350.40
03/03/2025,$361.82,9099607,$363.00,$366.54,$359.5401
02/28/2025,$362.71,15857340,$354.71,$364.00,$353.7109
02/27/2025,$355.74,7298114,$351.90,$360.31,$351.675
02/26/2025,$350.63,5960603,$350.00,$351.83,$348.99
02/25/2025,$352.09,6191949,$351.37,$352.5867,$346.00
02/24/2025,$349.86,5055927,$348.755,$350.80,$347.355
02/21/2025,$348.53,6924127,$350.49,$353.32,$347.48
02/20/2025,$350.49,5697023,$355.23,$356.13,$349.06
02/19/2025,$355.23,4152269,$356.015,$357.15,$354.18
02/18/2025,$356.73,5822034,$353.69,$356.74,$352.40
02/14/2025,$353.81,5720285,$354.43,$355.4299,$353.22
02/13/2025,$355.63,4279581,$353.12,$356.08,$350.73
02/12/2025,$351.49,6760066,$349.16,$351.83,$347.49
02/11/2025,$350.72,5154783,$348.30,$352.12,$346.25
02/10/2025,$351.23,6067002,$348.70,$351.90,$347.70
02/07/2025,$348.02,4261612,$348.00,$350.7485,$347.21
02/06/2025,$347.48,4294541,$349.78,$350.65,$346.6001
02/05/2025,$349.44,4939090,$346.00,$349.4768,$345.25
02/04/2025,$345.15,5532573,$344.60,$346.01,$342.54
02/03/2025,$345.82,8004548,$340.00,$346.00,$339.24
01/31/2025,$341.80,8628071,$346.47,$351.2499,$341.71
01/30/2025,$343.05,8081262,$339.51,$344.44,$339.00
01/29/2025,$335.88,5087286,$334.50,$337.11,$334.50
01/28/2025,$334.48,5999623,$334.67,$337.83,$332.89
01/27/2025,$334.54,6636541,$330.00,$335.49,$328.05
01/24/2025,$330.20,4327755,$328.02,$331.085,$327.805
01/23/2025,$328.21,5297085,$323.76,$328.51,$323.57
01/22/2025,$323.56,5026478,$324.77,$325.74,$322.38
01/21/2025,$323.63,5653341,$320.31,$324.58,$320.00
01/17/2025,$319.62,5805810,$317.50,$320.59,$316.71
01/16/2025,$317.25,4606670,$315.75,$319.18,$315.75
01/15/2025,$316.28,5222278,$313.68,$317.1876,$313.13
01/14/2025,$309.09,5107901,$308.75,$310.16,$307.52
01/13/2025,$306.92,9568727,$305.00,$306.92,$303.84
01/10/2025,$307.71,6660255,$311.20,$311.85,$305.99
01/08/2025,$312.60,5161601,$311.00,$314.04,$310.2146
01/07/2025,$311.67,4958641,$312.89,$315.19,$311.32
01/06/2025,$313.04,6567336,$315.01,$315.39,$312.07
01/03/2025,$314.91,4271845,$314.18,$315.92,$312.01
01/02/2025,$314.40,5373059,$317.78,$319.68,$312.41
12/31/2024,$316.04,3963824,$316.12,$317.66,$315.1901
12/30/2024,$315.31,3478763,$314.68,$317.11,$313.23
12/27/2024,$318.66,3489200,$319.27,$321.50,$317.56
12/26/2024,$320.91,2856059,$319.77,$321.45,$319.46
12/24/2024,$320.65,2684103,$318.17,$321.54,$317.28
12/23/2024,$317.22,7984610,$315.65,$317.97,$313.35
12/20/2024,$317.71,24387020,$313.57,$320.00,$312.28
12/19/2024,$314.88,8317119,$311.83,$316.87,$311.23
12/18/2024,$309.78,10479180,$318.50,$321.615,$309.56
12/17/2024,$318.30,8844349,$315.82,$318.84,$315.14
12/16/2024,$315.89,6562510,$314.74,$317.56,$314.10
12/13/2024,$314.74,4682543,$315.83,$316.95,$314.34
12/12/2024,$314.23,3218540,$314.82,$315.55,$313.43
12/11/2024,$313.79,4321824,$313.04,$315.55,$311.215
12/10/2024,$312.38,4539827,$307.36,$312.98,$306.64
12/09/2024,$308.30,5785297,$311.83,$313.01,$307.64
12/06/2024,$311.01,4302851,$308.87,$312.56,$308.80
12/05/2024,$309.08,5200052,$309.98,$311.09,$308.83
12/04/2024,$309.90,5981759,$312.42,$312.85,$308.80
12/03/2024,$313.01,5009907,$317.10,$317.32,$312.77
12/02/2024,$316.65,5597635,$316.90,$317.42,$313.71
11/29/2024,$315.08,3853281,$314.29,$316.25,$313.70
11/27/2024,$314.70,5204318,$310.77,$316.37,$309.49
11/26/2024,$311.82,7071592,$314.20,$314.50,$311.54
11/25/2024,$313.19,14189300,$311.86,$313.66,$309.86
11/22/2024,$309.92,5919518,$307.97,$311.59,$307.90
11/21/2024,$309.90,5757406,$307.30,$310.92,$306.65
11/20/2024,$307.39,6350282,$311.86,$312.29,$306.22
11/19/2024,$311.85,4885860,$310.00,$312.23,$308.51
11/18/2024,$312.16,4585944,$309.48,$312.41,$308.70
11/15/2024,$309.64,5106284,$307.56,$310.72,$306.66
11/14/2024,$308.25,4415788,$309.30,$311.29,$307.83
